3/19/18 12:53 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   17836	96538	                     590972	                       660905	   618	
Remaining:       	   17835	96536	                     590956	                       660888	   618	
Unique:          	   12260	63836	                     336719	                       386513	   575	
Unique Remaining:	   12259	63834	                     336703	                       386496	   575	


Individual File Statistics:

File Name                             	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
[prefs_audio_help]-zh_Hans.po         	            12	                12	             10	                       10	        200	            200	         166	                   166	                             1164	                                 1164	                               852	                                         852	                               1339	                                   1339	                                1006	                                          1006	
[prefs_audio_mutesolo_help]-zh_Hans.po	            11	                11	              9	                        9	        170	            170	         136	                   136	                              968	                                  968	                               656	                                         656	                               1114	                                   1114	                                 781	                                           781	
[prefs_audiodev]-zh_Hans.po           	            30	                30	             22	                       22	        112	            112	          68	                    68	                              757	                                  757	                               385	                                         385	                                828	                                    828	                                 431	                                           431	
[prefs_audiodev_asio_help]-zh_Hans.po 	            16	                16	             14	                       14	        238	            238	         204	                   204	                             1267	                                 1267	                               955	                                         955	                               1478	                                   1478	                                1145	                                          1145	
[prefs_audiodev_help]-zh_Hans.po      	            14	                14	             12	                       12	        167	            167	         133	                   133	                              955	                                  955	                               643	                                         643	                               1097	                                   1097	                                 764	                                           764	
[prefs_auto_help]-zh_Hans.po          	            17	                17	             15	                       15	        283	            283	         249	                   249	                             1630	                                 1630	                              1318	                                        1318	                               1882	                                   1882	                                1549	                                          1549	
[prefs_buf]-zh_Hans.po                	            18	                18	             12	                       12	         65	             65	          25	                    25	                              544	                                  544	                               196	                                         196	                                585	                                    585	                                 214	                                           214	
[prefs_buf_help]-zh_Hans.po           	            35	                35	             31	                       31	        410	            410	         362	                   362	                             2292	                                 2292	                              1898	                                        1898	                               2654	                                   2654	                                2227	                                          2227	
[prefs_dx_help]-zh_Hans.po            	             9	                 9	              7	                        7	        137	            137	         103	                   103	                              885	                                  885	                               573	                                         573	                                998	                                    998	                                 665	                                           665	
[prefs_edit]-zh_Hans.po               	            14	                14	             11	                       11	         85	             85	          49	                    49	                              584	                                  584	                               262	                                         262	                                644	                                    644	                                 300	                                           300	
[prefs_edit_help]-zh_Hans.po          	            21	                21	             19	                       19	        323	            323	         289	                   289	                             1793	                                 1793	                              1481	                                        1481	                               2083	                                   2083	                                1750	                                          1750	
[prefs_env]-zh_Hans.po                	            31	                31	             17	                       17	        113	            113	          61	                    61	                              690	                                  690	                               291	                                         291	                                753	                                    753	                                 329	                                           329	
[prefs_env_help]-zh_Hans.po           	            27	                27	             25	                       25	        443	            443	         409	                   409	                             2504	                                 2504	                              2192	                                        2192	                               2909	                                   2909	                                2576	                                          2576	
[prefs_env_pitch]-zh_Hans.po          	             9	                 9	              0	                        0	         47	             47	           0	                     0	                              352	                                  352	                                 0	                                           0	                                379	                                    379	                                   0	                                             0	
[prefs_extedit]-zh_Hans.po            	             7	                 7	              4	                        4	         42	             42	           7	                     7	                              366	                                  366	                                45	                                          45	                                390	                                    390	                                  48	                                            48	
[prefs_fader]-zh_Hans.po              	            10	                10	              7	                        7	         54	             54	          19	                    19	                              398	                                  398	                                79	                                          79	                                430	                                    430	                                  90	                                            90	
[prefs_gen_help]-zh_Hans.po           	            28	                28	             25	                       25	        397	            397	         355	                   355	                             2059	                                 2059	                              1712	                                        1712	                               2411	                                   2411	                                2037	                                          2037	
[prefs_itemdefs_help]-zh_Hans.po      	            22	                22	             17	                       17	        284	            284	         214	                   214	                             1650	                                 1650	                              1161	                                        1161	                               1900	                                   1900	                                1357	                                          1357	
[prefs_kbd_help]-zh_Hans.po           	            18	                18	             16	                       16	        245	            245	         211	                   211	                             1442	                                 1442	                              1130	                                        1130	                               1657	                                   1657	                                1324	                                          1324	
[prefs_list]-zh_Hans.po               	            41	                41	             22	                       22	         95	             95	          41	                    41	                              715	                                  715	                               269	                                         269	                                748	                                    748	                                 278	                                           278	
[prefs_media]-zh_Hans.po              	            29	                29	             23	                       23	        165	            165	         108	                   108	                              959	                                  959	                               529	                                         529	                               1081	                                   1081	                                 611	                                           611	
[prefs_media_help]-zh_Hans.po         	            24	                24	             22	                       22	        329	            329	         295	                   295	                             1794	                                 1794	                              1482	                                        1482	                               2081	                                   2081	                                1748	                                          1748	
[prefs_mediafades_help]-zh_Hans.po    	            11	                11	              8	                        8	        161	            161	         108	                   108	                              907	                                  907	                               516	                                         516	                               1041	                                   1041	                                 612	                                           612	
[prefs_mediapeaks_help]-zh_Hans.po    	            48	                48	             32	                       32	        528	            528	         406	                   406	                             2780	                                 2780	                              1972	                                        1972	                               3249	                                   3249	                                2346	                                          2346	
[prefs_mediavu_help]-zh_Hans.po       	            30	                30	             28	                       28	        451	            451	         417	                   417	                             2259	                                 2259	                              1947	                                        1947	                               2669	                                   2669	                                2336	                                          2336	
[prefs_meter_help]-zh_Hans.po         	            34	                34	             28	                       28	        488	            488	         425	                   425	                             2468	                                 2468	                              2006	                                        2006	                               2912	                                   2912	                                2404	                                          2404	
[prefs_midi_help]-zh_Hans.po          	            23	                23	             21	                       21	        371	            371	         337	                   337	                             1967	                                 1967	                              1655	                                        1655	                               2299	                                   2299	                                1966	                                          1966	
[prefs_mididev]-zh_Hans.po            	            12	                12	              8	                        8	         49	             49	          13	                    13	                              410	                                  410	                                85	                                          85	                                434	                                    434	                                  88	                                            88	
[prefs_mididev_help]-zh_Hans.po       	             9	                 9	              7	                        7	        137	            137	         103	                   103	                              832	                                  832	                               520	                                         520	                                946	                                    946	                                 613	                                           613	
[prefs_midiedit_help]-zh_Hans.po      	            19	                19	             17	                       17	        313	            313	         279	                   279	                             1610	                                 1610	                              1298	                                        1298	                               1892	                                   1892	                                1559	                                          1559	
[prefs_mouse]-zh_Hans.po              	            85	                85	             81	                       81	        532	            532	         494	                   494	                             2909	                                 2909	                              2573	                                        2573	                               3294	                                   3294	                                2935	                                          2935	
[prefs_mouse_help]-zh_Hans.po         	            18	                18	             16	                       16	        319	            319	         285	                   285	                             1747	                                 1747	                              1435	                                        1435	                               2032	                                   2032	                                1699	                                          1699	
[prefs_path_help]-zh_Hans.po          	            10	                10	              8	                        8	        144	            144	         110	                   110	                              835	                                  835	                               523	                                         523	                                956	                                    956	                                 623	                                           623	
[prefs_playback_help]-zh_Hans.po      	            29	                29	             27	                       27	        400	            400	         366	                   366	                             2054	                                 2054	                              1742	                                        1742	                               2400	                                   2400	                                2067	                                          2067	
[prefs_plugin]-zh_Hans.po             	            11	                11	              8	                        8	        113	            113	          78	                    78	                              813	                                  813	                               495	                                         495	                                892	                                    892	                                 553	                                           553	
[prefs_plugin_help]-zh_Hans.po        	            21	                21	             19	                       19	        316	            316	         282	                   282	                             1702	                                 1702	                              1390	                                        1390	                               1987	                                   1987	                                1654	                                          1654	
[prefs_plugin_knob]-zh_Hans.po        	             6	                 6	              2	                        2	         38	             38	           2	                     2	                              341	                                  341	                                16	                                          16	                                362	                                    362	                                  16	                                            16	
[prefs_plugin_vst]-zh_Hans.po         	             6	                 6	              1	                        1	         54	             54	           8	                     8	                              423	                                  423	                                41	                                          41	                                460	                                    460	                                  48	                                            48	
[prefs_plugincompat_help]-zh_Hans.po  	            11	                11	              9	                        9	        169	            169	         135	                   135	                             1058	                                 1058	                               746	                                         746	                               1203	                                   1203	                                 870	                                           870	
[prefs_project_help]-zh_Hans.po       	            21	                21	             19	                       19	        342	            342	         308	                   308	                             1868	                                 1868	                              1556	                                        1556	                               2177	                                   2177	                                1844	                                          1844	
[prefs_reamote]-zh_Hans.po            	            19	                19	             11	                       11	         84	             84	          40	                    40	                              585	                                  585	                               212	                                         212	                                640	                                    640	                                 241	                                           241	
[prefs_reascript]-zh_Hans.po          	            11	                11	              7	                        7	         69	             69	          29	                    29	                              524	                                  524	                               171	                                         171	                                571	                                    571	                                 193	                                           193	
[prefs_reascript_help]-zh_Hans.po     	            16	                16	             14	                       14	        184	            184	         150	                   150	                             1143	                                 1143	                               831	                                         831	                               1296	                                   1296	                                 963	                                           963	
[prefs_record_help]-zh_Hans.po        	            28	                28	             26	                       26	        357	            357	         323	                   323	                             2183	                                 2183	                              1871	                                        1871	                               2493	                                   2493	                                2160	                                          2160	
[prefs_record_loop_help]-zh_Hans.po   	            10	                10	              8	                        8	        169	            169	         135	                   135	                              958	                                  958	                               646	                                         646	                               1106	                                   1106	                                 773	                                           773	
[prefs_render_help]-zh_Hans.po        	            16	                16	             13	                       13	        217	            217	         172	                   172	                             1228	                                 1228	                               861	                                         861	                               1417	                                   1417	                                1019	                                          1019	
[prefs_seek_help]-zh_Hans.po          	            13	                13	             11	                       11	        204	            204	         170	                   170	                             1162	                                 1162	                               850	                                         850	                               1341	                                   1341	                                1008	                                          1008	
[prefs_track]-zh_Hans.po              	            11	                11	              5	                        5	         48	             48	           8	                     8	                              409	                                  409	                                47	                                          47	                                435	                                    435	                                  50	                                            50	
[prefs_trackdefs_help]-zh_Hans.po     	            27	                27	             25	                       25	        279	            279	         245	                   245	                             1621	                                 1621	                              1309	                                        1309	                               1859	                                   1859	                                1526	                                          1526	
[prefs_video]-zh_Hans.po              	             8	                 8	              2	                        2	         53	             53	          14	                    14	                              410	                                  410	                                78	                                          78	                                443	                                    443	                                  90	                                            90	
[prefs_video_help]-zh_Hans.po         	            22	                22	             17	                       17	        249	            249	         191	                   191	                             1486	                                 1486	                              1034	                                        1034	                               1701	                                   1701	                                1207	                                          1207	
[prefs_vst_help]-zh_Hans.po           	            30	                30	             28	                       28	        325	            325	         291	                   291	                             1851	                                 1851	                              1539	                                        1539	                               2130	                                   2130	                                1797	                                          1797	
[projbay]-zh_Hans.po                  	           165	               165	            119	                      119	        436	            436	         330	                   330	                             2484	                                 2484	                              1754	                                        1754	                               2735	                                   2735	                                1959	                                          1959	
[projload]-zh_Hans.po                 	            18	                18	             15	                       15	        262	            262	         226	                   226	                             1409	                                 1409	                              1086	                                        1086	                               1638	                                   1638	                                1293	                                          1293	
[projsave]-zh_Hans.po                 	            10	                10	              6	                        6	         64	             64	          26	                    26	                              478	                                  478	                               148	                                         148	                                521	                                    521	                                 168	                                           168	
[projsettings]-zh_Hans.po             	            40	                40	             27	                       27	        310	            310	         249	                   249	                             1781	                                 1781	                              1306	                                        1306	                               2035	                                   2035	                                1523	                                          1523	
[ps_dle]-zh_Hans.po                   	            12	                12	              7	                        7	         49	             49	          12	                    12	                              400	                                  400	                                72	                                          72	                                425	                                    425	                                  76	                                            76	
[ps_e]-zh_Hans.po                     	            34	                34	             28	                       28	        123	            123	          83	                    83	                              889	                                  889	                               547	                                         547	                                958	                                    958	                                 595	                                           595	
[ps_rbl]-zh_Hans.po                   	            25	                25	             17	                       17	         61	             61	          22	                    22	                              487	                                  487	                               148	                                         148	                                513	                                    513	                                 153	                                           153	
[ps_st]-zh_Hans.po                    	             5	                 5	              2	                        2	         39	             39	           4	                     4	                              342	                                  342	                                26	                                          26	                                365	                                    365	                                  28	                                            28	
[radar]-zh_Hans.po                    	             3	                 3	              1	                        1	         36	             36	           2	                     2	                              324	                                  324	                                12	                                          12	                                346	                                    346	                                  13	                                            13	
[reamote]-zh_Hans.po                  	            14	                14	              9	                        9	        125	            125	          82	                    82	                              812	                                  812	                               440	                                         440	                                906	                                    906	                                 507	                                           507	
[reaper_ddp_DLG_155]-zh_Hans.po       	             6	                 6	              3	                        3	         46	             46	          11	                    11	                              373	                                  373	                                57	                                          57	                                401	                                    401	                                  64	                                            64	
[reaper_ddp_DLG_156]-zh_Hans.po       	             4	                 4	              0	                        0	         36	             36	           0	                     0	                              321	                                  321	                                 0	                                           0	                                342	                                    342	                                   0	                                             0	
[reaper_opus_DLG_120]-zh_Hans.po      	            22	                22	             11	                       11	         80	             80	          29	                    29	                              574	                                  574	                               165	                                         165	                                620	                                    620	                                 183	                                           183	
[reaper_opus_DLG_155]-zh_Hans.po      	            10	                10	              3	                        3	         62	             62	          23	                    23	                              446	                                  446	                               106	                                         106	                                485	                                    485	                                 124	                                           124	
[reaper_rex_DLG_120]-zh_Hans.po       	            17	                17	             10	                       10	         73	             73	          33	                    33	                              497	                                  497	                               154	                                         154	                                541	                                    541	                                 176	                                           176	
[reaper_rex_DLG_121]-zh_Hans.po       	             6	                 6	              2	                        2	         40	             40	           4	                     4	                              349	                                  349	                                22	                                          22	                                372	                                    372	                                  24	                                            24	
[reaper_shoutcast_DLG_101]-zh_Hans.po 	            31	                31	             17	                       17	         95	             95	          47	                    47	                              662	                                  662	                               258	                                         258	                                713	                                    713	                                 286	                                           286	
[reaper_shoutcast_DLG_155]-zh_Hans.po 	             4	                 4	              2	                        2	         67	             67	          33	                    33	                              459	                                  459	                               147	                                         147	                                513	                                    513	                                 180	                                           180	
[rearoute_in]-zh_Hans.po              	             4	                 4	              1	                        1	         39	             39	           3	                     3	                              337	                                  337	                                15	                                          15	                                361	                                    361	                                  17	                                            17	
[rearoute_out]-zh_Hans.po             	             4	                 4	              1	                        1	         39	             39	           3	                     3	                              338	                                  338	                                16	                                          16	                                362	                                    362	                                  18	                                            18	
[reascript]-zh_Hans.po                	            33	                33	             31	                       31	        185	            185	         151	                   151	                             1115	                                 1115	                               803	                                         803	                               1250	                                   1250	                                 917	                                           917	
[reccfg]-zh_Hans.po                   	            11	                11	              9	                        9	         67	             67	          33	                    33	                              503	                                  503	                               191	                                         191	                                549	                                    549	                                 216	                                           216	
[recmenu]-zh_Hans.po                  	            33	                33	             26	                       26	        138	            138	          88	                    88	                              912	                                  912	                               503	                                         503	                               1004	                                   1004	                                 563	                                           563	
[recordmode]-zh_Hans.po               	            20	                20	             18	                       18	        100	            100	          66	                    66	                              775	                                  775	                               463	                                         463	                                844	                                    844	                                 511	                                           511	
[reg]-zh_Hans.po                      	             6	                 6	              4	                        4	         59	             59	          25	                    25	                              440	                                  440	                               128	                                         128	                                483	                                    483	                                 150	                                           150	
[region]-zh_Hans.po                   	             8	                 8	              5	                        5	         69	             69	          34	                    34	                              497	                                  497	                               180	                                         180	                                547	                                    547	                                 209	                                           209	
[regmgr]-zh_Hans.po                   	            35	                35	             15	                       15	        129	            129	          70	                    70	                              815	                                  815	                               367	                                         367	                                893	                                    893	                                 418	                                           418	
[regmgr_help]-zh_Hans.po              	             9	                 9	              6	                        6	         54	             54	          19	                    19	                              420	                                  420	                               103	                                         103	                                452	                                    452	                                 114	                                           114	
[render]-zh_Hans.po                   	            73	                73	             55	                       55	        241	            241	         173	                   173	                             1463	                                 1463	                               957	                                         957	                               1621	                                   1621	                                1076	                                          1076	
[render_month]-zh_Hans.po             	            14	                14	             12	                       12	         46	             46	          12	                    12	                              348	                                  348	                                36	                                          36	                                369	                                    369	                                  36	                                            36	
[render_wildcard]-zh_Hans.po          	            46	                46	             44	                       44	        401	            401	         367	                   367	                             1995	                                 1995	                              1683	                                        1683	                               2321	                                   2321	                                1988	                                          1988	
[renderq]-zh_Hans.po                  	            12	                12	              5	                        5	         54	             54	          15	                    15	                              417	                                  417	                                77	                                          77	                                447	                                    447	                                  86	                                            86	
[resample]-zh_Hans.po                 	            12	                12	             10	                       10	         68	             68	          34	                    34	                              514	                                  514	                               202	                                         202	                                561	                                    561	                                 228	                                           228	
[rescript]-zh_Hans.po                 	             3	                 3	              1	                        1	         36	             36	           2	                     2	                              321	                                  321	                                 9	                                           9	                                343	                                    343	                                  10	                                            10	
[rewire]-zh_Hans.po                   	            24	                24	             18	                       18	        120	            120	          79	                    79	                              763	                                  763	                               421	                                         421	                                848	                                    848	                                 482	                                           482	
[rex]-zh_Hans.po                      	            15	                15	             12	                       12	         83	             83	          46	                    46	                              518	                                  518	                               194	                                         194	                                574	                                    574	                                 227	                                           227	
[routdlg]-zh_Hans.po                  	            22	                22	             16	                       16	         92	             92	          53	                    53	                              598	                                  598	                               258	                                         258	                                657	                                    657	                                 295	                                           295	
[routdlg_heading]-zh_Hans.po          	             6	                 6	              2	                        2	         42	             42	           6	                     6	                              363	                                  363	                                38	                                          38	                                388	                                    388	                                  42	                                            42	
[routehelp]-zh_Hans.po                	            27	                27	             25	                       25	        568	            568	         534	                   534	                             2873	                                 2873	                              2561	                                        2561	                               3392	                                   3392	                                3059	                                          3059	
[routing]-zh_Hans.po                  	            95	                95	             71	                       71	        283	            283	         215	                   215	                             1609	                                 1609	                              1115	                                        1115	                               1792	                                   1792	                                1264	                                          1264	
